"cluster_id",x,y,z
0,"-0.0235242","0.449796","51.9078"
0,"-0.0307146","41.4548","-11.1926"
0,"-0.295815","20.6489","57.8882"
0,"-10.7777","-22.3785","-10.5707"
0,"7.50793","-17.5873","2.29261"
0,"7.563","10.9005","48.2079"
0,"7.57749","7.30714","44.135"
0,"7.57751","20.3073","56.4644"
0,"7.59513","-8.0887","17.231"
0,"7.69892","9.97944","45.7421"
0,"7.78422","6.30447","56.1633"
0,"7.80112","14.9032","49.8599"
0,"7.81477","12.0383","56.2973"
0,"7.86667","-3.03927","35.7507"
0,"-10.7844","18.2665","54.2466"
0,"7.963","-14.7128","22.4888"
0,"7.97652","9.081","54.4091"
0,"8.08742","12.6053","59.4566"
0,"8.13877","12.0468","43.932"
0,"8.1521","15.8737","58.0454"
0,"8.19038","16.8542","45.727"
0,"8.20588","42.7647","-5.7938"
0,"8.21562","14.17","52.2385"
0,"8.31848","21.8046","45.9439"
0,"8.38846","14.5893","55.0755"
0,"-10.7985","-33.5319","55.2198"
0,"8.43065","43.6195","24.34"
0,"8.50845","-7.38997","4.66329"
0,"8.56612","7.06146","-32.0903"
0,"8.57711","0.526773","25.4295"
0,"8.62031","28.5653","26.8474"
0,"8.62252","16.8296","53.0323"
0,"8.68781","-5.53801","0.325687"
0,"8.68796","-6.63791","22.9277"
0,"8.70292","-2.67301","-16.9094"
0,"8.75798","17.7455","50.3361"
0,"-10.8514","8.10812","48.8424"
0,"8.78879","8.32353","47.8698"
0,"8.82586","11.8888","53.6946"
0,"8.93823","12.7964","40.6403"
0,"8.96754","9.47848","41.8211"
0,"9.0091","16.8718","42.7213"
0,"9.05225","-8.638","24.4836"
0,"9.06631","19.959","53.561"
0,"9.07112","12.8834","48.6709"
0,"9.10071","9.31021","51.9551"
0,"9.25435","7.49336","17.556"
0,"-10.9072","-33.9777","26.9697"
0,"9.26292","3.04893","1.60062"
0,"9.35238","5.00149","53.2201"
0,"9.48924","-14.3248","1.68585"
0,"9.53513","13.7414","46.1182"
0,"9.55718","8.85691","-38.2008"
0,"9.60724","6.66837","50.6552"
0,"9.6275","21.3137","-15.8146"
0,"9.68218","5.66958","45.6135"
0,"9.77405","10.2284","49.4105"
0,"9.78859","21.197","50.592"
0,"-10.9087","-32.1817","53.9855"
0,"9.82244","4.19151","48.5244"
0,"9.91208","-12.9674","1.29016"
0,"9.92666","19.0279","47.8237"
0,"9.94582","-21.479","-11.6693"
0,"9.94897","14.2814","43.4129"
0,"9.96336","-34.9316","-3.67271"
1,"-0.0274641","-12.4063","-5.26968"
1,"-0.0694721","1.63939","7.54265"
1,"-0.131633","16.4491","-11.0513"
1,"-0.166957","20.3457","54.2002"
0,"-10.9103","-34.3544","56.8557"
1,"-0.17427","-28.3593","10.9696"
1,"-0.184248","0.069167","17.2031"
1,"-0.480673","46.9523","24.7763"
1,"-0.485901","-20.5411","-9.57875"
1,"-0.520335","37.2199","-8.973"
1,"-0.716414","15.2739","39.4552"
1,"-0.846227","1.20837","56.918"
1,"-1.04131","-16.0206","13.113"
1,"-1.32048","-25.3111","0.795603"
1,"-1.46142","37.4037","-8.41855"
0,"-10.9352","0.795969","42.0631"
1,"-1.60922","29.7486","-10.8953"
1,"-1.62541","16.1989","-13.2181"
1,"-1.63072","27.3974","18.3413"
1,"-1.79067","13.6279","-15.7369"
1,"-1.92533","-26.5475","-1.03968"
1,"-1.99406","15.4767","-2.97374"
1,"-10.0218","-0.212747","7.69461"
1,"-10.2294","-32.6424","55.9644"
1,"-10.2318","-23.0845","-57.2006"
1,"-10.4521","-28.0491","16.3129"
0,"-10.9418","-28.188","-54.6573"
1,"-11.1153","20.6403","-6.32215"
1,"-11.2322","-8.91668","-5.16914"
1,"-11.2375","-42.1268","25.1216"
1,"-11.3437","43.7502","29.1052"
1,"-11.3745","16.7721","46.1372"
1,"-11.4666","-32.8515","57.3676"
1,"-11.8278","-3.48064","12.6328"
1,"-12.0241","0.0667579","-33.2229"
1,"-12.0308","0.0623901","-33.2107"
1,"-12.0339","-17.1931","10.8466"
0,"-10.9582","-31.2448","55.3477"
1,"-12.0527","-32.4009","55.3706"
1,"-12.1498","-38.2378","18.2873"
1,"-12.183","22.0099","6.58216"
1,"-12.4342","13.2785","22.2287"
1,"-12.5837","-37.8957","21.575"
1,"-12.6268","41.6036","27.1286"
1,"-12.6842","5.96954","-8.93505"
1,"-12.7497","-38.0013","17.4716"
1,"-12.7601","9.94217","45.3825"
1,"-12.7832","21.2214","9.72202"
0,"-0.311828","40.5125","-7.75905"
0,"-11.0733","-30.3327","-7.6914"
1,"-12.865","43.0431","25.9186"
1,"-12.9985","-42.5368","24.0808"
1,"-13.0723","-12.1541","2.8284"
1,"-13.166","23.1466","8.34775"
1,"-13.1825","44.9298","26.3448"
1,"-13.1988","-34.5922","13.2485"
1,"-13.4218","41.0993","28.8905"
1,"-13.8052","-22.9134","-53.0035"
1,"-13.8807","42.9747","30.2191"
1,"-13.9183","-14.0713","-20.6412"
0,"-11.123","-34.0079","26.1278"
1,"-13.9239","26.9192","-13.1797"
1,"-13.9997","-37.5104","22.2463"
1,"-14.1021","5.02038","35.1628"
1,"-14.1958","5.96411","-8.10155"
1,"-14.3157","44.8061","29.8925"
1,"-14.3895","-13.054","-21.4697"
1,"-14.4008","39.6386","2.01669"
1,"-14.4151","43.4932","29.0052"
1,"-14.5039","-11.6746","-22.7271"
1,"-14.5138","-11.6924","-22.7892"
0,"-11.1774","15.9708","48.0082"
1,"-14.5167","17.8839","-0.707957"
1,"-14.522","-13.5967","-21.0737"
1,"-14.5911","30.3006","9.20658"
1,"-14.9172","29.4176","5.94622"
1,"-15.0382","-0.81014","-6.51064"
1,"-15.323","46.4412","27.4858"
1,"-15.3868","-7.41397","13.4298"
1,"-15.7734","-37.6466","16.9417"
1,"-15.8923","43.3012","31.1764"
1,"-16.1893","-7.66864","4.92872"
0,"-11.1775","14.6521","54.745"
1,"-16.2091","24.0488","-4.1927"
1,"-16.8765","13.0255","11.3993"
1,"-16.8974","13.1216","2.99677"
1,"-17.1","4.36938","20.7017"
1,"-17.1762","15.8253","5.7763"
1,"-17.5935","11.9035","2.08069"
1,"-18.3443","-6.41719","2.26314"
1,"-18.5275","8.97312","16.8873"
1,"-18.6676","6.54696","21.8236"
1,"-19.898","19.6817","-7.28888"
0,"-11.2611","11.7976","52.8933"
1,"-2.14467","-11.158","28.8858"
1,"-2.26844","-29.8878","0.108899"
1,"-2.34412","-28.8317","-0.260913"
1,"-2.74763","-27.33","-0.599682"
1,"-2.8343","-29.6019","-1.00588"
1,"-2.93882","-10.912","17.2595"
1,"-20.1303","14.2006","-17.3503"
1,"-20.1772","29.529","9.78441"
1,"-20.6327","29.0619","4.98758"
1,"-21.2357","1.24911","9.22937"
0,"-11.3351","-39.9999","25.835"
1,"-21.8563","32.2154","9.03021"
1,"-22.2512","9.27006","19.1644"
1,"-22.7415","7.97514","-4.66243"
1,"-22.7837","1.54659","-4.50828"
1,"-23.1528","31.8846","2.01566"
1,"-23.3636","9.3738","-8.547"
1,"-23.9722","25.6569","-0.236468"
1,"-24.8369","25.2096","-0.00979928"
1,"-26.6391","16.0659","-20.9698"
1,"-27.6745","-12.3659","-5.03393"
0,"-11.4221","-40.174","25.4647"
1,"-27.6984","16.5855","-9.25044"
1,"-28.1284","16.3416","-20.8134"
1,"-28.3224","8.06322","-16.5192"
