cluster,frequency,monetary,recency
4,6,"92.7",5
1,46,"947.2",9
1,5,"1761.0",9
1,25,"396.5",10
3,38,"6818.0",11
4,9,"215.3",3
1,27,"382.4",11
1,24,"417.05",7
4,18,"312.2",3
3,175,"2615.7",10
4,12,"134.1",6
3,113,"2726.6",7
1,34,"1118.6",9
2,103,"1701.08",10
1,52,"326.55",11
4,27,"354.79",3
2,91,"871.02",11
1,51,"1052.55",11
1,50,"135.32",9
4,17,"311.5",2
2,78,"1957.2",7
2,110,"1324.85",9
4,46,"1107.15",5
1,5,"521.2",10
1,3,"147.0",7
1,11,"380.0",9
4,4,"374.0",3
4,47,"855.9",4
1,10,"572.8",10
4,7,"298.0",3
1,13,"1464.4",11
1,42,"703.6",11
1,7,"309.1",9
2,71,"1174.6",10
2,82,"1378.55",10
4,5,"354.0",5
1,82,"381.11",11
4,3,"331.0",6
1,34,"188.14",11
1,22,"372.65",10
4,4,"216.5",5
4,10,"138.6",3
1,72,"510.06",11
3,63,"2918.95",11
4,2,"750.0",6
2,91,"2179.6",10
3,75,"3076.2",11
3,107,"3005.55",7
1,2,"594.0",8
1,28,"165.15",11
1,28,"405.6",7
1,29,"177.03",10
1,30,"934.1",9
4,8,"117.6",2
1,25,"414.25",9
2,106,"607.58",11
2,62,"1064.48",11
2,120,"1506.71",11
1,9,"114.5",11
2,99,"913.36",10
4,23,"463.0",2
2,116,"2066.85",11
0,215,"4165.1",11
1,17,"329.9",11
4,19,"108.05",2
0,238,"4019.4",11
2,109,"772.33",9
1,10,"160.0",11
1,5,"135.95",8
4,8,"144.85",5
4,22,"739.9",5
1,9,"39.27",7
1,20,"371.6",11
4,28,"389.85",4
1,4,"97.5",11
1,28,"558.75",9
4,92,"535.35",2
1,13,"409.5",11
1,31,"504.2",11
1,27,"415.3",11
1,3,"211.4",9
2,59,"1227.6",11
4,28,"457.4",5
4,7,"120.95",1
1,6,"149.1",8
4,26,"513.7",6
1,4,"81.65",10
4,14,"229.4",1
2,89,"1660.05",11
3,109,"3468.15",11
3,176,"3344.15",10
1,47,"789.75",9
0,458,"7292.1",11
1,40,"690.0",10
1,45,"659.8",11
2,71,"1010.48",10
1,27,"920.2",9
1,48,"882.3",7
1,28,"907.7",9
4,13,"517.3",3
4,33,"566.0",2
1,18,"306.1",9
1,35,"630.0",11
2,136,"1833.76",11
1,14,"657.0",10
4,18,"349.58",5
2,76,"1214.15",9
1,8,"271.85",11
4,8,"183.5",4
4,15,"307.6",3
1,10,"247.9",9
4,11,"346.9",6
2,69,"1119.27",11
1,48,"472.25",11
1,15,"115.56",9
1,2,"344.0",11
4,9,"228.8",5
4,7,"177.2",3
1,22,"919.7",8
4,6,"58.0",6
3,73,"3614.85",8
1,22,"417.5",7
1,21,"346.0",11
1,6,"74.6",9
1,1,"207.0",9
4,8,"102.1",4
1,8,"243.5",10
1,1,"76.5",7
2,58,"1530.5",10
1,47,"789.8",10
2,145,"1489.59",11
2,120,"2299.6",11
1,30,"503.65",7
2,79,"1199.11",11
4,1,"30.6",4
4,50,"283.05",3
1,55,"923.1",9
1,15,"259.0",9
1,2,"64.0",9
1,44,"1073.8",11
4,3,"77.3",3
4,7,"110.25",3
2,98,"1797.9",9
3,1,"3096.0",5
3,127,"2606.4",10
3,170,"5066.0",11
3,135,"2387.7",9
1,23,"307.49",11
4,3,"110.95",1
1,17,"229.45",11
1,4,"714.0",11
2,86,"1674.5",11
4,74,"1258.15",2
2,87,"1740.6",10
2,79,"1199.8",9
1,4,"91.8",11
4,8,"112.75",1
2,79,"1686.85",8
4,41,"416.8",3
1,65,"792.24",11
2,131,"1321.91",11
1,13,"713.7",10
1,32,"116.03",11
1,46,"468.15",11
1,72,"491.62",10
1,17,"283.3",10
1,11,"124.0",10
2,181,"1701.32",11
4,1,"71.4",3
2,79,"1574.75",10
4,37,"235.82",1
1,2,"114.6",11
1,29,"261.7",11
1,63,"914.2",9
1,29,"117.68",10
1,3,"60.7",7
2,110,"1801.05",11
1,46,"870.6",11
1,57,"871.6",11
1,8,"250.4",11
2,149,"1223.29",10
1,22,"352.2",9
2,142,"788.41",11
2,90,"1519.6",10
4,5,"334.0",3
1,4,"534.0",8
1,5,"62.7",8
1,21,"821.24",9
4,5,"163.4",5
2,108,"2160.4",10
4,16,"108.75",3
4,9,"259.2",5
1,2,"358.0",9
4,10,"161.1",4
2,207,"1357.73",11
1,43,"606.1",9
4,58,"1032.2",5
1,36,"745.0",11
4,21,"330.7",3
1,13,"270.4",8
4,58,"600.21",5
1,27,"121.79",9
1,16,"430.55",10
2,141,"1986.84",11
1,25,"500.0",11
1,26,"466.45",8
1,23,"711.67",9
1,36,"1029.2",7
1,38,"699.14",11
1,87,"292.49",10
1,8,"557.5",10
4,9,"944.1",3
4,11,"200.6",3
2,91,"2105.35",10
3,187,"3830.3",11
0,440,"3217.19",11
2,96,"217.33",11
1,15,"277.1",11
1,16,"138.85",8
1,30,"592.25",10
1,8,"258.4",11
1,46,"545.67",10
1,9,"137.8",9
2,85,"815.65",8
1,37,"1132.7",11
1,7,"93.7",10
4,13,"201.05",1
3,187,"2714.2",11
1,42,"361.19",7
1,31,"578.75",11
4,54,"877.05",6
1,5,"88.4",7
4,5,"142.5",3
4,20,"371.9",6
1,81,"618.73",8
1,1,"63.75",7
1,1,"15.0",8
2,54,"1385.1",11
2,72,"1131.2",11
2,78,"1556.1",11
3,87,"5983.15",11
2,106,"1552.3",9
1,11,"566.1",9
1,25,"199.98",11
1,12,"676.3",9
4,17,"1306.4",1
1,53,"1141.35",9
1,21,"350.7",11
0,268,"3536.75",9
1,51,"795.7",9
1,19,"487.95",7
4,54,"860.2",5
4,42,"775.5",3
4,19,"353.4",6
3,119,"2542.9",10
4,20,"390.0",2
1,8,"341.4",9
1,14,"232.6",10
1,16,"247.1",11
1,40,"979.25",11
1,16,"373.8",10
1,24,"398.7",10
1,51,"743.0",9
1,32,"675.0",8
1,42,"767.55",9
4,90,"610.86",3
4,29,"440.0",3
1,23,"439.1",10
3,166,"3089.8",11
2,60,"990.75",11
1,10,"135.0",9
2,128,"2229.8",11
1,1,"56.0",10
4,29,"622.9",3
1,23,"379.0",9
3,158,"3311.0",10
1,37,"779.05",9
1,53,"1019.95",9
2,97,"573.94",11
3,172,"3638.0",11
4,15,"223.35",3
3,152,"4151.55",11
4,35,"535.3",1
1,35,"678.05",7
1,51,"797.8",11
1,13,"543.5",9
4,1,"59.8",5
4,21,"308.8",6
2,43,"1360.3",11
2,38,"1545.0",9
4,26,"458.85",5
1,3,"75.0",11
1,27,"572.401",9
1,28,"1002.5",11
1,18,"213.7",8
1,24,"1390.5",7
1,19,"712.5",10
1,16,"222.0",10
1,8,"161.05",7
2,104,"1851.34",10
3,127,"2623.7",10
2,78,"1623.9",8
1,29,"582.3",11
1,74,"218.56",11
2,67,"1007.95",11
1,49,"678.8",11
1,46,"1268.4",10
1,10,"534.3",9
3,167,"3406.7",11
4,54,"283.03",3
1,13,"296.9",9
2,59,"1131.15",11
1,19,"292.2",11
2,71,"2045.2",11
0,443,"2985.22",11
4,2,"590.0",3
4,17,"357.0",6
2,63,"1767.5",11
1,17,"187.5",11
1,27,"1448.2",11
4,9,"151.5",4
1,41,"675.35",10
4,17,"308.4",6
2,99,"1084.71",11
1,10,"165.0",9
1,21,"422.2",10
4,64,"229.78",4
2,86,"1427.8",6
4,58,"1239.3",6
2,79,"1454.85",11
4,15,"301.5",5
2,109,"1805.5",10
4,11,"184.8",4
1,10,"139.9",10
4,8,"313.8",4
4,23,"454.4",4
2,69,"1120.6",9
1,14,"448.5",8
4,18,"316.0",2
1,42,"1161.3",11
2,65,"1165.65",11
1,18,"292.2",11
1,17,"220.2",9
1,22,"296.45",10
4,12,"111.02",4
